Full Name,Quote,Related Tags,Born Date,Country,State,City,Biography
Dr. Seuss,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”","comedy, life, yourself","March 02, 1904",The United States,MA,Sprgfield,"Theodor Seuss Geisel was born 2 March 1904 in Springfield, MA. He graduated Dartmouth College in 192"
Albert Einstein,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”","children, fairy-tales","March 14, 1879",Germany,Unknown,Ulm,"In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zuric"
Albert Einstein,“Logic will get you from A to Z; imagination will get you everywhere.”,imagination,"March 14, 1879",Germany,Unknown,Ulm,"In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zuric"
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",music,"February 06, 1945",Jamaica,Sat Ann,Ne Mile,"Robert ""Bob"" Nesta Marley OM was a Jamaican singer, songwriter, guitarist, and activist. He was the "
Dr. Seuss,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”","learning, reading, seuss","March 02, 1904",The United States,MA,Sprgfield,"Theodor Seuss Geisel was born 2 March 1904 in Springfield, MA. He graduated Dartmouth College in 192"
J.K. Rowling,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",dumbledore,"July 31, 1965",The United Kgdom,South Gloucestershire,Yate,"See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling, pronounced like rolli"
Bob Marley,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",friendship,"February 06, 1945",Jamaica,Sat Ann,Ne Mile,"Robert ""Bob"" Nesta Marley OM was a Jamaican singer, songwriter, guitarist, and activist. He was the "
Mother Teresa,“Not all of us can do great things. But we can do small things with great love.”,"misattributed-to-mother-teresa, paraphrased","August 26, 1910",the Former Yugoslav Republic of,Macedonia,Skopje,"Blessed Teresa of Calcutta, or Mother Teresa, born Agnes Gonxha Bojaxhiu was an Albanian Roman Catho"
J.K. Rowling,"“To the well-organized mind, death is but the next great adventure.”","death, inspirational","July 31, 1965",The United Kgdom,South Gloucestershire,Yate,"See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling, pronounced like rolli"
Charles M. Schulz,“All you need is love. But a little chocolate now and then doesn't hurt.”,"chocolate, food, humor","November 26, 1922",The United States,MN,Mneapolis,"Charles Monroe Schulz was an American cartoonist, whose comic strip Peanuts proved one of the most p"
William Nicholson,“We read to know we're not alone.”,"misattributed-to-c-s-lewis, reading","January 12, 1948",The United Kgdom,Sussex,Lewes,Librarian Note: There is more than one author in the GoodReads database with this name. See this thr
Albert Einstein,“Any fool can know. The point is to understand.”,"knowledge, learning, understanding, wisdom","March 14, 1879",Germany,Unknown,Ulm,"In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zuric"
Jorge Luis Borges,“I have always imagined that Paradise will be a kind of library.”,"books, library","August 24, 1899",Argenta,Unknown,Buenos Aires,"Jorge Francisco Isidoro Luis Borges Acevedo (Spanish pronunciation: [xoɾxe lwis boɾxes], Russian: Хо"
George Eliot,“It is never too late to be what you might have been.”,inspirational,"November 22, 1819",The United Kgdom,Arbury Hall,South Farm,"In 1819, novelist George Eliot (nee Mary Ann Evans), was born at a farmstead in Nuneaton, Warwickshi"
George R.R. Martin,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”","read, readers, reading, reading-books","September 20, 1948",The United States,New Jersey,Bayonne,"George R. R. Martin was born September 20, 1948, in Bayonne, New Jersey. His father was Raymond Coll"
C.S. Lewis,“You can never get a cup of tea large enough or a book long enough to suit me.”,"books, inspirational, reading, tea","November 29, 1898",Ireland,Unknown,Belfast,CLIVE STAPLES LEWIS (1898–1963) was one of the intellectual giants of the twentieth century and argu
Marilyn Monroe,"“If you can make a woman laugh, you can make her do anything.”","girls, love","June 01, 1926",The United States,Unknown,Unknown,"Marilyn Monroe (born Norma Jeane Mortenson; June 1, 1926 – August 5, 1962) was an American actress, "
Albert Einstein,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”","life, simile","March 14, 1879",Germany,Unknown,Ulm,"In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zuric"
Marilyn Monroe,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,love,"June 01, 1926",The United States,Unknown,Unknown,"Marilyn Monroe (born Norma Jeane Mortenson; June 1, 1926 – August 5, 1962) was an American actress, "
Marilyn Monroe,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",attributed-no-source,"June 01, 1926",The United States,Unknown,Unknown,"Marilyn Monroe (born Norma Jeane Mortenson; June 1, 1926 – August 5, 1962) was an American actress, "
Martin Luther King Jr.,“Only in the darkness can you see the stars.”,"hope, inspirational","January 15, 1929",The United States,Georgia,Atlanta,"Martin Luther King, Jr. was one of the pivotal leaders of the American civil rights movement. King w"
J.K. Rowling,"“It matters not what someone is born, but what they grow to be.”",dumbledore,"July 31, 1965",The United Kgdom,South Gloucestershire,Yate,"See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling, pronounced like rolli"
James Baldwin,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",love,"August 02, 1924",The United States,New York,Harlem,Librarian Note: There is more than one author in the GoodReads database with this name. See this thr
Jane Austen,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","friendship, love","December 16, 1775",The United Kgdom,Hampshire,Steventon Rectory,"Jane Austen was an English novelist whose works of romantic fiction, set among the landed gentry, ea"
Eleanor Roosevelt,“Do one thing every day that scares you.”,"attributed, fear, inspiration","October 11, 1884",The United States,Unknown,Unknown,Anna Eleanor Roosevelt was an American political leader who used her influence as an active First La
Marilyn Monroe,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",attributed-no-source,"June 01, 1926",The United States,Unknown,Unknown,"Marilyn Monroe (born Norma Jeane Mortenson; June 1, 1926 – August 5, 1962) was an American actress, "
Albert Einstein,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",music,"March 14, 1879",Germany,Unknown,Ulm,"In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zuric"
Haruki Murakami,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”","books, thought","January 12, 1949",Japan,Unknown,Kyoto,Haruki Murakami (Japanese: 村上 春樹) is a popular contemporary Japanese writer and translator. His work
Alexandre Dumas-fils,“The difference between genius and stupidity is: genius has its limits.”,misattributed-to-einstein,"July 27, 1824",France,Unknown,Paris,"Alexandre Dumas (son) was born in Paris, France, the illegitimate child of Marie-Laure-Catherine Lab"
Stephenie Meyer,"“He's like a drug for you, Bella.”","drug, romance, simile","December 24, 1973",The United States,Unknown,Connecticut,"I was born in Connecticut in 1973, during a brief blip in my family's otherwise western U.S. existen"
